case_id,split,family,chain_limit,weight,budget,prefix_sum,final_cost,optimum_prefix_sum,total_recourse,max_request_recourse,cpu_seconds,wall_seconds
clustered_05,eval,clustered,1,0,1,21,6,21,1,1,0.0,0.00015890000213403255
clustered_05,eval,clustered,1,0,2,21,6,21,1,1,0.0,0.00015469999925699085
clustered_05,eval,clustered,1,0,4,21,6,21,1,1,0.0,0.00016709999908925965
clustered_05,eval,clustered,1,1/2,1,21,6,21,1,1,0.0,0.0001596000001882203
clustered_05,eval,clustered,1,1/2,2,21,6,21,1,1,0.0,0.00016840000171214342
clustered_05,eval,clustered,1,1/2,4,21,6,21,1,1,0.0,0.00020539999968605116
clustered_05,eval,clustered,5,0,1,21,6,21,1,1,0.0,0.0009182000067085028
clustered_05,eval,clustered,5,0,2,21,6,21,1,1,0.0,0.0035231999936513603
clustered_05,eval,clustered,5,0,4,21,6,21,1,1,0.0,0.003757200000109151
clustered_05,eval,clustered,5,1/2,1,21,6,21,1,1,0.015625,0.0015884000022197142
clustered_05,eval,clustered,5,1/2,2,21,6,21,1,1,0.0,0.004077899997355416
clustered_05,eval,clustered,5,1/2,4,21,6,21,1,1,0.0,0.00395550000393996
clustered_06,eval,clustered,1,0,1,21,6,21,1,1,0.0,0.00016429999959655106
clustered_06,eval,clustered,1,0,2,21,6,21,1,1,0.0,0.0001790999958757311
clustered_06,eval,clustered,1,0,4,21,6,21,1,1,0.0,0.00023069999588187784
clustered_06,eval,clustered,1,1/2,1,21,6,21,1,1,0.0,0.0001475000026402995
clustered_06,eval,clustered,1,1/2,2,21,6,21,1,1,0.0,0.0001540000012028031
clustered_06,eval,clustered,1,1/2,4,21,6,21,1,1,0.0,0.00015699999494245276
clustered_06,eval,clustered,5,0,1,21,6,21,1,1,0.0,0.001036100002238527
clustered_06,eval,clustered,5,0,2,21,6,21,1,1,0.0,0.003715700004249811
clustered_06,eval,clustered,5,0,4,21,6,21,1,1,0.015625,0.004603299996233545
clustered_06,eval,clustered,5,1/2,1,21,6,21,1,1,0.0,0.0010761999947135337
clustered_06,eval,clustered,5,1/2,2,21,6,21,1,1,0.0,0.003875599999446422
clustered_06,eval,clustered,5,1/2,4,21,6,21,1,1,0.0,0.003729200005182065
near_far_01,eval,near_far,1,0,1,21,6,21,0,0,0.0,0.0001649999976507388
near_far_01,eval,near_far,1,0,2,21,6,21,0,0,0.0,0.00015639999764971435
near_far_01,eval,near_far,1,0,4,21,6,21,0,0,0.0,0.00015529999654972926
near_far_01,eval,near_far,1,1/2,1,21,6,21,0,0,0.0,0.0001520000005257316
near_far_01,eval,near_far,1,1/2,2,21,6,21,0,0,0.0,0.00015730000450275838
near_far_01,eval,near_far,1,1/2,4,21,6,21,0,0,0.0,0.0001536999989184551
near_far_01,eval,near_far,5,0,1,21,6,21,0,0,0.015625,0.004668199995649047
near_far_01,eval,near_far,5,0,2,21,6,21,0,0,0.0,0.003573900001356378
near_far_01,eval,near_far,5,0,4,21,6,21,0,0,0.0,0.0037561000062851235
near_far_01,eval,near_far,5,1/2,1,21,6,21,0,0,0.0,0.0035927999997511506
near_far_01,eval,near_far,5,1/2,2,21,6,21,0,0,0.015625,0.005761899999924935
near_far_01,eval,near_far,5,1/2,4,21,6,21,0,0,0.0,0.004001399996923283
near_far_02,eval,near_far,1,0,1,21,6,21,0,0,0.0,0.00015980000171111897
near_far_02,eval,near_far,1,0,2,21,6,21,0,0,0.0,0.00015220000204863027
near_far_02,eval,near_far,1,0,4,21,6,21,0,0,0.0,0.00014740000187885016
near_far_02,eval,near_far,1,1/2,1,21,6,21,0,0,0.0,0.0001832999987527728
near_far_02,eval,near_far,1,1/2,2,21,6,21,0,0,0.0,0.0001466999965487048
near_far_02,eval,near_far,1,1/2,4,21,6,21,0,0,0.0,0.00021700000070268288
near_far_02,eval,near_far,5,0,1,21,6,21,0,0,0.015625,0.0035069000005023554
near_far_02,eval,near_far,5,0,2,21,6,21,0,0,0.0,0.0037060000031488016
near_far_02,eval,near_far,5,0,4,21,6,21,0,0,0.0,0.007775500002026092
near_far_02,eval,near_far,5,1/2,1,21,6,21,0,0,0.015625,0.0049043999970308505
near_far_02,eval,near_far,5,1/2,2,21,6,21,0,0,0.0,0.004963200000929646
near_far_02,eval,near_far,5,1/2,4,21,6,21,0,0,0.0,0.004638799997337628
near_far_03,eval,near_far,1,0,1,21,6,21,0,0,0.0,0.00019789999350905418
