base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-preflight-n20-d3-r0000,a00f2668ba72adfeab179a8428baecca8e0b8782b073ddec04a771785b28f7fb,20,3,1,3,3,3,3,3,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0000,3a2e585349f4c950154ad791f158b25d0cee167ffb7864f415bfde79f982adc5,20,3,2,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0000,ce38b9fe96719c04860ab0a1ed52baa4f3342b5e95967456fad4f94ddbf7d4d7,20,3,4,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0000,dd17f43e0adeef82895b33f4963b9777b612196af6984028d0dd27c2e5953630,20,3,5,14,15,15,15,15,interior,0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.0,1.0,0,0,0
r2-preflight-n20-d3-r0000,93ce9f97e8979322e92d26bf4d020585a2c9ae4599e9da13bb203f54dd4d806c,20,3,7,18,18,18,18,18,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0000,276ac7660b6135acc1899bdc0f0c3680ff33f86ae1c6f4c9051ee1004bbcce4c,20,3,10,18,18,18,18,18,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0000,2a56d912e4181e913c46c210e1524708e1eaaaad5bb35a1900122a1c6fe97342,20,3,14,18,18,18,18,18,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0000,03c9c4afb9372f5cb2ed1502b15077a908d79cb3f4c5e55d53d7a0ecfe254587,20,3,20,18,18,18,18,18,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0001,0fdc8fd98de0c1d508cab06206aa01a75d03e8b4db5878ae31b1bc0805800ea1,20,3,1,3,3,3,3,3,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0001,44f4351521433c66147342d12449aca13e8324a8390e99b4eb65250b4f335e27,20,3,2,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0001,879364f9de3fb773b38622164b6c78531ded5e3549ea157858d2ef21fc71843f,20,3,4,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0001,0993e8de1416b5285707830e3e679280a0b091bf5a2213b330837710e2a47c1a,20,3,5,14,15,15,15,15,interior,0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.0,1.0,0,0,0
r2-preflight-n20-d3-r0001,0b40dfca581599aa607a4e7e378eabf3c8c2611903bcdd9a8cd28ed6fb556e7f,20,3,7,17,17,18,18,18,interior,0,0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.0,1.0588235294117647,0,0,0
r2-preflight-n20-d3-r0001,23e546f9bad731e05c1390213eedf4b431e09bb28cc0b51dcbb70ee3b43ed3ba,20,3,10,18,18,18,18,18,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
